,explanation,type,word
230,to some extent or degree; rather; a bit; slightly,ad. Syn. slightly,somewhat
231,cause to feel better; give moral or emotional strength to,v. Syn. alleviate; mitigate,soothe
232,wide-ranging knowledge; complex; intellectually appealing,a. Syn. complex; complicated,sophisticated
233,being expert or having knowledge of some technical subject,n. ,sophistication
234,"skin infection; hurting; inflamed and painful; source of pain, distress, or irritation",n. ,sore
235,kind or species; a class of;,n. ,sort
236,sensation perceived by the ear; distinctive noise; long narrow inlet,n. ,sound
237,taste experience when vinegar or lemon juice; showing ill humor,a. Syn. tart; acidic,sour
238,"point of origin, such as spring, of stream or river; one that causes, creates, or initiates",n. ,source
239,token of remembrance; memento; something of sentimental value,n. Syn. reminder; memento,souvenir
240,having supreme rank or power; self governing; excellent; independent,a. Syn. excellent; independent,sovereign
241,autonomy; independence,n. Syn. autonomy; independence,sovereignty
242,plant; place seeds in or on,v. Syn. plant; seed,sow
243,soybean; most highly protein vegetable,n. ,soy
244,a vehicle for travelling in space,n. ,spacecraft
245,spacecraft designed to carry a crew into interstellar space,n. ,spaceship
246,wide; generous or large in area or extent; sizable,a. Syn. wide; large; sizable,spacious
247,duration; distance; cover; extent or measure of space between two points,n. Syn. duration; distance,span
248,give up what is not strictly needed; hold back from; withhold or avoid; save or relieve from action,v. ,spare
249,flash; sparkle; emit or produce sparks,n. Syn. flash; sparkle,spark
250,be brilliant in performance; give off or reflect flashes of light; glitter,v. ,sparkle
251,any of several small dull-colored singing birds feeding on seeds or insects ,n. ,sparrow
252,relating to space; existing in or connected with space,a. ,spatial
253,"a long, pointed weapon, used in war and hunting, by thrusting or throwing",n. ,spear
254,mention specially; particularize; apply to some specialty or limited object,v. ,specialize
255,developed or designed for a special activity or function,a. ,specialized
256,a specific kind of something,n. Syn. kind,species
257,stated explicitly or in detail; definite,a. Syn. particular; definite,specific
258,"instruction; description; act of specifying, or making a detailed statement",n. Syn. instruction; description,specification
259,detail; designate,v. Syn. detail; designate,specify
260,model; sample; an example regarded as typical of its class,n. Syn. model; sample,specimen
261,demonstration; show,n. Syn. demonstration; show,spectacle
262,impressive or sensational; lavishly produced performance; grand,a. Syn. fascinating; grand,spectacular
263,observer; audience; one who looks on,n. Syn. observer; audience,spectator
264,colored band produced when beam of light passes through a prism; a range of values,n. ,spectrum
265,assume to be true without conclusive evidence; engage in buying or selling of a commodity for  profit,v. Syn. hypothesize; guess; ponder; consider,speculate
266,"speculating; examination by eye; intellectual check; business venture in unusual risks, with a chance for large profits",n. Syn. view,speculation
267,fast; rapid; accomplished or arrived at without delay; prompt,a. Syn. fast; rapid,speedy
268,name or write in order the letters constituting; add up to; signify,v. ,spell
269,ball; globe; a particular aspect of life or activity,n. Syn. ball; globe,sphere
270,pour; sudden drop from an upright position; flow or run out,v. Syn. pour,spill
271,turn round rapidly; move round rapidly; move swiftly,v. Syn. whirl,spin
272,rotary; curled; moving in a zigzag course; moving in shape of a coil,a. Syn. rotary; curled,spiral
273,not tangible or material; belonging to religion; sacred; supernatural,a. Syn. immaterial; sacred; supernatural,spiritual
274,expel or eject from the mouth; rain gently,v. ,spit
275,"ill-will or hatred toward another, accompanied with the disposition to irritate, annoy, or thwart",n. ,spite
276,"cause fluid to scatter in flying masses; strike and dash about, as water, mud",v. ,splash
277,shining; very bright; magnificent; brilliant,a. Syn. magnificent; brilliant,splendid
278,break apart; cut; devide,v. Syn. devide,split
279,go bad; rot; decay; become unfit for consumption or use,v. Syn. mar; rot; decay,spoil
280,man who speaks on behalf of another or others,n. ,spokesman
281,"soaking up; small absorbent contraceptive pad, used for bathing or cleaning",n. ,sponge
282,"one who binds himself to answer for another, and is responsible for his default; godfather or godmother",n. ,sponsor
283,arising without external cause; growing without cultivation or human labor,a. ,spontaneous
284,a piece of cutlery with a shallow bowl-shaped container and a handle,n. ,spoon
285,activity that is governed by a set of rules or customs and often engaged in competitively,n. ,sport
286,location; place; site; pinpoint; mark to allow easy recognition,n. Syn. location; place; site,spot
287,violent wrenching of the soft parts surrounding a joint; injury caused by pushing or pressing; painful injury to a joint caused by a sudden wrenching,n. ,sprain
288,a quantity of small objects flying through air,n. Syn. disseminate; sprinkle,spray
289,develop suddenly; jump; move forward by leaps and bounds,v. ,spring
290,have new growth of a plant such as a new branch or a bud; shoot up,v. Syn. germinate,sprout
291,urge a horse; incite or stimulate; ride quickly by spurring a horse; proceed in haste,v. Syn. stimulate; urge,spur
292,be compatible with; cause to match; cut to rectangular shape; bring into agreement or balance; settle,v. ,square
293,a game played in an enclosed court by two or four players who strike the ball with long-handled rackets; crush; press; depress,n. ,squash
294,stocky; short and thick; low and broad,a. Syn. stocky,squat
295,force something into or through a restricted space; compress with violence,v. Syn. extract,squeeze
296, a kind of arboreal rodent having a long bushy tail,n. ,squirrel
297,pierce with a pointed weapon; wound or kill by pointed instrument,v. ,stab
298,balance; constancy,n. Syn. balance; constancy,stability
299,not easily moved or disturbed,a. Syn. fixed; steadfast; constant,stable
300,an orderly pile; heap; a large number ; arrange in pile,n. ,stack
301,"large, usually open structure for sports events with tiered seating for spectators",n. ,stadium
302,personnel who assist superior to carry out assigned task,n. Syn. personnel; crew; team,staff
303,sway; walk as if unable to control one's movements,v. ,stagger
304,soiled or discolored; symbol of disgrace or infamy; natural spot of a color different from the gound,n. Syn. blemish; flaw,stain
305,a way of access consisting of a set of steps ,n. ,staircase
306,money risked on gamble; pole set up to mark something; right or legal share of something,n. ,stake
307,having lost freshness; lacking originality or spontaneity,a. ,stale
308,go through an area in search of prey; pursue; walk with a stiff or angry gait; move threateningly,v. Syn. follow; pursue,stalk
309,small area set off by walls for special use; booth,n. ,stall
310,make involuntary stops in uttering syllables or words; hesitate or falter in speaking; speak with stops and difficulty,v. ,stammer
311,criteria; basis for comparison,n. Syn. criteria,standard
312,normalize; cause to conform to a standard,v. Syn. normalize,standardize
313,high reputation; esteem; maintaining an erect position,a. Syn. fame; reputation,standing
314,a mental position from which things are viewed ,n. ,standpoint
315,necessary foods or commodities; basic elements; secure or fasten; a short U-shaped wire nail for securing cables,n. ,staple
316,one who deals in staple goods or staple fibers; device used to bind material together by means of staples,n. ,stapler
317,"move suddenly, or be excited; excite by sudden alarm, surprise",v. Syn. alarm; surprise,startle
318,act of depriving of food or subjecting to famine,n. ,starvation
319,hunger; deprive of food,v. Syn. hunger,starve
320,"one occupied with the affairs of government, and influential in shaping policy",n. ,statesman
321,having no motion; being at rest; fixed; stationary,a. Syn. stationary,static
322,fixed; immobile; static; not capable of being moved,a. Syn. fixed; immobile; static,stationary
323,paper cut to right size for writing letters; writing materials and office supplies,n. ,stationery
324,a branch of applied mathematics concerned with the collection and interpretation of quantitative data ,n. ,statistics
325,sculpture representing a human or animal,n. ,statue
326,position relative to others; standing,n. Syn. standing; state,status
327,"law enacted by legislature; decree or edict, as of a ruler",n. Syn. decree; law,statute
328,securely in position; not shaky; not easily excited,a. Syn. stable,steady
329,"slice of meat, typically beef, usually cut thick",n. ,steak
330,vessel propelled by steam; steamship or steamboat;  road locomotive for use on common roads,n. ,steamer
331,soak; make thoroughly wet,v. Syn. soak; saturate,steep
332,"drive; direct;  guide by means of a device such as a rudder, paddle, or wheel",v. Syn. drive; direct,steer
333,stop flow of a liquid; make headway against,v. ,stem
334,stereophonic sound-reproduction system,n. ,stereo
335,any English coin of standard value; coined money,n. ,sterling
336,"hard, harsh, or severe in manner or character; firm or unyielding",a. Syn. severe; relentless,stern
337,"one who manages another's property, finances, or other affairs; attendant on a ship or airplane",n. ,steward
338,fasten into place by fixing an end; be a follower or supporter,v. ,stick
339,glutinous; adhesive; covered with an adhesive agent; humid; stiff,a. Syn. glutinous; adhesive,sticky
340,not moving or operating freely; lacking ease in bending; resistant,a. Syn. rigid,stiff
341,encourage; motivate; arouse; spur;  excite or invigorate with a stimulant,v. Syn. whet; encourage; motivate; exhilarate; arouse; spur,stimulate
342,arousing an organism to action,n. ,stimulation
343,pierce painfully with sharp pointed structure or organ; cause to suffer keenly in the mind or feelings,v. Syn. puncture,sting
344,"strong, offensive smell; disgusting odor; stench",n. Syn. stench,stink
345,specify or arrange in agreement; express demand in agreement;  promise in agreement,v. Syn. specify,stipulate
346,provision; an agreement made by parties in a judicial proceeding,n. Syn. provision,stipulation
347,sew; knit; fasten or join with or as if with thread,v. Syn. sew; knit,stitch
348,certificate for shareholder of corporation; total amount of goods in a shop,n. ,stock
349,"principal organ of digestion; abdomen or belly; appetite for food; desire, especially for something difficult",n. ,stomach
350,bend forward and down from the waist or the middle of the back,v. ,stoop
351,story; floor or level of a building or ship,n. ,storey
352,dependable; stocky; euphemisms for fat,a. Syn. sturdy; stocky,stout
353,proceeding in a straight course or manner; not deviating; honest; frank.,a. ,straightforward
354,group of organisms within a species; tension; pressure,n. Syn. tension; pressure,strain
355,difficult; stressful; narrow; not broad; tight; close; closely fitting,a. ,strait
356,"complex of fibers that twisted together to form a cable, rope, thread; land bordering a body of water; single filament",n. Syn. thread,strand
357,belt; band that goes over the shoulder and supports a garment or bag,n. Syn. belt,strap
358,important or essential in relation to a plan of action; essential to the effective conduct of war; highly important to an intended objective,a. ,strategic
359,elaborate and systematic plan; plan of action intended to accomplish a specific goal,n. ,strategy
360,a line or long mark of a different color from the ground; stripe; vein,n. ,streak
361,reinforce; fortify; make strong or increase the strength of,v. Syn. reinforce; fortify,strengthen
362,"put special emphasis on; utter with an accent; state of extreme difficulty, pressure, or strain",n. Syn. emphasis,stress
363,extend; pull in opposite directions; lie down comfortably,v. Syn. extend,stretch
364,step; pace; significant progress,n. Syn. step; pace,stride
365,"act of striving; earnest endeavor; exertion or contention for superiority; contest of emulation, either by intellectual or physical efforts",n. ,strife
366,a group's refusal to work in protest against low pay or bad work conditions,n. ,strike
367,dramatic; outstanding; arresting attention and producing a vivid impression,a. Syn. dramatic; outstanding; remarkable,striking
368,lightweight cord; a collection of objects threaded on a single strand; plant fiber,n. ,string
369,remove the surface from,v. Syn. remove; deprive; divest,strip
370,a kind or category; band; ribbon,n. Syn. band; ribbon,stripe
371,endeavor; struggle or fight forcefully; exert much effort or energy,v. Syn. endeavor; struggle,strive
372,blow; light touch; sudden loss of consciousness for brain blood vessel lacking oxygen,n. Syn. blow,stroke
373,wander on foot; ramble idly or leisurely,v. ,stroll
374,of structure; affecting structure; constructional,a. ,structural
375,complex construction or entity; complex composition of knowledge,n. ,structure
376,"unreasonably, often perversely unyielding; persistent; difficult to treat",a. Syn. headstrong; obstinate; tenacious,stubborn
377,workplace for the teaching or practice of an art,n. ,studio
378,unspecified objects; tangible substance,n. ,stuff
379,stout; lacking sufficient ventilation; close; dull and boring,a. ,stuffy
380,miss a step and fall or nearly fall; walk unsteadily,v. Syn. fall,stumble
381,robust; strong; substantially made or constructed,a. Syn. robust; strong; substantial; firm,sturdy
382,particular kind; a way of expressing something,n. ,style
383,quiet or bring under control by physical force or persuasion; make less intense; tone down,v. ,subdue
384,something to be treated; course or area of study,n. ,subject
385,occurring or taking place in person's mind rather than external world; unreal,a. Syn. unreal,subjective
386,submersible warship; move forward or under in a sliding motion; underwater,n. ,submarine
387,sink; immerse; put under water,v. Syn. sink; immerse,submerge
388,refer for judgment or consideration; hand in; present,v. Syn. defer; yield,submit
389,occupying lower rank; inferior; submissive,a. Syn. inferior; submissive,subordinate
390,"write underneath, as one's name; sign to a document; give consent to; promise to give, by writing one's name with the amount",v. ,subscribe
391,following in time or order; succeeding; later,a. Syn. following,subsequent
392,in a subsequent manner; at a later time; accordingly; therefore,ad. Syn. later; accordingly,subsequently
393,subordinate; secondary; serving to assist or supplement,a. Syn. subordinate; secondary,subsidiary
394,fairly large; in essentials; material; true or real; not imaginary; solidly built,a. Syn. solid; strong; material,substantial
395,establish by evidence; make firm or solid; support,v. Syn. verify; support,substantiate
396,exchange; put in the place of another,v. Syn. exchange; replace,substitute
397,slight; be difficult to detect or grasp by the mind,a. Syn. slight; delicate,subtle
398,remove a part from the whole,v. ,subtract
399,reduction; deduction; removing a part from the whole,n. Syn. reduction; deduction,subtraction
400,outskirts; usually residential area or community outlying a city,n. Syn. outskirts,suburb
401,"act of succeeding, or following after; following of things in order of time or place, or a series of things so following; sequence",n. ,succession
402,consecutive,a. Syn. consecutive,successive
403,one who or that which succeeds or follows; one who takes the place which another has left,n. ,successor
404,draw liquid into mouth; take in;  draw something by vacuum,v. ,suck
405,"be enough, or sufficient; meet the need; be equal to the end proposed; be adequate; satisfy",v. ,suffice
406,adequate; enough; being as much as is needed,a. Syn. adequate; enough,sufficient
407,meet the requirements of; fit; please; satisfy,v. Syn. accommodate; fit; adapt,suit
408,appropriate to a purpose or an occasion,a. ,suitable
409,portable rectangular traveling bag for carrying clothes,n. ,suitcase
410,apartment consisting of a series of connected rooms; a matching set of furniture,n. ,suite
411,lonely; solitary; desolate; gloomy; dismal; affected with ill humor,a. ,sullen
412,burning hot; extremely and unpleasantly hot,a. ,sultry
413,mount or whole of any number of individuals or particulars added together; amount,n. ,sum
414,brief statement that presents the main points,n. ,summary
415,utmost height; highest point of a mountain,n. Syn. peak; acme; zenith,summit
416,"call, bid, or cite; notify to come to appear; call upon to surrender",v. ,summon
417,redness of the skin caused by exposure to the rays of the sun,n. ,sunburn
418,plant having large flower heads with dark disk florets and showy yellow rays,n. ,sunflower
419,rays of the sun,n. ,sunlight
420,daily event of the sun rising above the horizon,n. ,sunrise
421,daily event of the sun sinking below the horizon,n. Syn. sundown,sunset
422,moderate weather; suitable for outdoor activities; the rays of the sun,n. ,sunshine
423,of unusually high quality; excellent; wonderful,a. Syn. excellent; wonderful,superb
424,trivial; of little substance; involving a surface only,a. Syn. trivial,superficial
425,director; person who has the authority to supervise or direct; janitor or custodian in a building,n. Syn. director; supervisor,superintendent
426,greater rank or station or quality; excellent,a. Syn. excellent,superior
427,be placed in or take the room of; replace; make obsolete; make void or useless by superior power,v. Syn. replace,supersede
428,"having, caused by, or relating to speed greater than the speed of sound",a. ,supersonic
429,"excessive reverence for, or fear of, that which is unknown or mysterious; worship of a false god; false religion",n. ,superstition
430,administer; direct,v. Syn. administer; direct,supervise
431,management by overseeing the performance,n. ,supervision
432,"director; overseer; one who is in charge of a particular unit, as in government or school system",n. Syn. director; overseer,supervisor
433,add as something seems insufficient; complement; extension; addition,v. Syn. add; complement,supplement
434,added to complete or make up a deficiency,a. ,supplementary
435,imagine or admit to exist; assume to be true; believe; receive as true,v. Syn. presume; assume; conjecture,suppose
436,put down by force or authority; overwhelm; keep from being revealed,v. Syn. overwhelm,suppress
437,most outstanding; highest; superior,a. Syn. highest; superior,supreme
438,an additional charge; charge an extra fee,n. ,surcharge
439,exterior part of anything that has length and breadth; outside; outward or external appearance,n. ,surface
440,"outburst; roll or be tossed about on waves, as a boat",n. Syn. outburst; eruption,surge
441,one who performs manual operations on a patient,n. ,surgeon
442,medical treatment that involves cutting open a person's body,n. ,surgery
443,guess;  infer something without sufficiently conclusive evidence,v. Syn. guess,surmise
444,"be or go beyond, as in degree or quality; exceed",v. Syn. exceed,surpass
445,remainder; more than is needed; quantity much larger than is needed; remaining,a. Syn. extra; remaining,surplus
446,"hand over, give up, give something into another's control",v. ,surrender
447,poll; detailed critical inspection,n. Syn. poll; review,survey
448,existence; remaining alive,n. Syn. existence; subsistence,survival
449,continue to live; endure or last,v. Syn. endure; tolerate; outlive,survive
450,one who outlives another; one who lives through affliction,n. ,survivor
451,have doubts about; distrust,v. Syn. doubt,suspect
452,hang freely; postpone; delay,v. Syn. hang; append,suspend
453,uncertain cognitive state; uncertainty,n. Syn. uncertainty,suspense
454,"mistrust; act of suspecting something, especially something wrong, on little evidence or without proof",n. Syn. mistrust; doubt,suspicion
455,openly distrustful and unwilling to confide; questionable,a. Syn. skeptical,suspicious
456,admit as valid; keep in existence; lengthen or extend in duration or space,v. Syn. support; nourish; maintain,sustain
457,take back what one has said ; enclose or envelop completely,v. ,swallow
458,low land that is seasonally flooded; low land region saturated with water,n. Syn. marsh; bog,swamp
459,dense moving crowd; large group of honeybees,n. Syn. throng; flock; crowd,swarm
460,swing; move back and forth or sideways; win approval or support for; convince,v. Syn. swing,sway
461,affirm or utter a solemn declaration; make promise or resolve on oath,v. ,swear
462,knitted garment covering the upper part of the body,n. ,sweater
463,movement in an arc; clean with a broom; wide scope; winning all,n. ,sweep
464,bulge; expand abnormally; increase in size; become filled with pride or anger,v. Syn. bulge; enlarge,swell
465,quick; moving or capable of moving with great speed,a. Syn. quick; rapid; nimble,swift
466,sway or move from one side to another; turn round by  wind or tide; be hanged,v. Syn. wave; vibrate; oscillate,swing
467,a unit of spoken language larger than a phoneme,n. ,syllable
468,sign; something visible to represent something else invisible,n. Syn. sign; signal,symbol
469,represent; signify; stand for,v. Syn. represent; signify,symbolize
470,arrangement of parts so that balance is obtained; congruity,n. Syn. congruity; proportion,symmetry
471,expressing compassion or friendly fellow feelings; approving; having similar disposition and tastes,a. Syn. approving,sympathetic
472,be understanding of; feel or express sympathy or compassion,v. ,sympathize
473,compassion; pity; concern,n. Syn. compassion; pity; concern,sympathy
474,"large orchestra; harmony, especially of sound or color",n. Syn. orchestra,symphony
475,"collection of writings on a particular topic, as in a magazine; meeting or conference for discussion of a topic; drinking together; merry feast",n. ,symposium
476,sign; indication; any sensation or change in bodily function that is experienced by a patient,n. Syn. sign; prognosis; indication,symptom
477,two words that can be interchanged in a context,n. ,synonym
478,combining parts into a coherent whole; putting of two or more things togethe,n. Syn. formation; integration,synthesis
479,artificial; involving or of the nature of synthesis as opposed to analysis,a. Syn. artificial,synthetic
480,organized structure for arranging or classifying,n. Syn. structure,system
481,ordered; methodical; carried on using step-by-step procedures,a. Syn. ordered; methodical,systematic
0,set resolution or proposal for future consideration; hold back to a later time,v. ,table
1,a small flat compressed cake of some substance; a dose of medicine; simplified computer with only screen,n. ,tablet
2,"small, short, sharp-pointed nail, usually having a broad, flat head",n. ,tack
3,"apparatus for raising or lowering heavy weights, consisting of a rope and pulley blocks; stopping an opposing player carrying the ball",n. ,tackle
4,sense of touch; feeling; stroke in beating time; sensitive mental touch; peculiar skill or faculty,n. ,tact
5,strategy; policy; plan for attaining a particular goal,n. Syn. strategy; policy,tactics
6,attach; append; provide with a name or nickname; label,v. Syn. attach; append,tag
7,one whose occupation is making garments; create clothes with cloth,n. ,tailor
8,"skill; gift; marked innate ability, as for artistic accomplishment",n. Syn. aptitude; skill; gift,talent
9,record by making a mark; reckon or count; keep score,v. ,tally
10,domesticated; very restrained or quiet; make less strong or intense; soften,a. ,tame
11,yellowish-brown color; brown color imparted to the skin by exposure to the sun,n. ,tan
12,"uniting or knitting together confusedly;  knot of threads, or other thing, united confusedly, or so interwoven as not to be easily disengaged",n. ,tangle
13,draw upon; strike lightly; make good use of,v. Syn. utilize,tap
14,long thin piece of cloth or paper; measuring instrument for length by narrow strip,n. ,tape
15,"sailor or seaman; thick, black, viscous liquid obtained by the distillation of wood, coal",n. ,tar
16,reference point to shoot at; goal intended to be attained,n. ,target
17,tax on goods coming into a country,n. ,tariff
18,labor or study imposed by another; undertake; labor,v. Syn. undertake; labor,task
19,have experience or enjoyment; take a sample of; have flavor,v. ,taste
20,"laying a tax, or imposing taxes, as on the subjects of a state, by authority; raising of revenue",n. ,taxation
21,a number of persons associated together in any work; a flock of wild ducks,n. Syn. gang,team
22,pot for brewing tea; usually has a spout and handle,n. ,teapot
23,separate or be separated by force; divide or disrupt; fill with tears or shed tears,v. Syn. separate,tear
24,tear into pieces;  raise the fibers of,v. ,tease
25,having special skill or knowledge; according to principle; formal rather than practical; relating to technique,a. ,technical
26,one skilled particularly in the technical details of work,n. ,technician
27,practical method or art applied to some particular task; skillfulness,n. ,technique
28,"application of science, especially to industrial or commercial objectives",n. ,technology
29,"tiresome by reason of length, slowness, or dullness; progressing very slowly",a. Syn. boring; wearisome,tedious
30,apparatus used to communicate at a distance over a wire,n. ,telegraph
31,a magnifier of images of distant objects,n. ,telescope
32,communications system consisting of teletypewriters connected to a telephonic network to send and receive signals,n. ,telex
33,moderate; tone down or restrain;  bring to a desired consistency; adjust finely,v. Syn. moderate,temper
34,degree of any quality; condition with respect to heat or cold; degree of heat or cold,n. ,temperature
35,church; place of worship ,n. Syn. church,temple
36,not permanent; not lasting,a. Syn. impermanent,temporary
37,give rise to a desire by being attractive,v. Syn. entice; allure,tempt
38,"act of tempting, or enticing to evil; seduction",n. ,temptation
39,occupant; one that pays rent to use land or building,n. Syn. occupant; leaseholder,tenant
40,make a tender of; be disposed or inclined; move or extend in a certain direction,v. ,tend
41,trend; a general direction in which something tends to move,n. Syn. trend; propensity,tendency
42,offer formally; extend; propose a payment,v. Syn. offer; extend,tender
43,"continuous, unwavering course; exact meaning or actual wording of a document",n. ,tenor
44,stretch or force to the limit; tight,a. Syn. strained; taut; tight,tense
45,action of stretching something tight; anxiety; feelings of hostility,n. Syn. strain; stress; anxiety,tension
46,hesitant; not fully worked out or developed; experimental; not definite or positive,a. Syn. hesitant; experimental,tentative
47,limited period of time; point in time at which something ends; termination; deadline,n. ,term
48,causing or ending in or approaching death; station,n. Syn. station,terminal
49,stop; bring to an end or halt,v. Syn. stop; end,terminate
50,end of something in time or space; result or outcome; conclusion,n. Syn. conclusion; outcome,termination
51,"vocabulary of technical terms used in a particular field, subject, science, or art",n. Syn. terms; vocabulary,terminology
52,row of houses built in a similar style; level shelf of land with steep slopes,n. ,terrace
53,dreadfully; frightfully; to a great extent; very much,ad. Syn. dreadfully; awfully; frightfully,terribly
54,causing extreme terror; very great; extraordinarily good,a. Syn. excellent; tremendous,terrific
55,frighten; fill with terror,v. Syn. frighten,terrify
56,large extent of land; organized portion of country,n. Syn. region; country; district,territory
57,extreme fear; violent dread; fright,n. Syn. fear; fright,terror
58,give testimony in a court of law; provide evidence for,v. ,testify
59,solemn declaration or affirmation; something that serves as evidence,n. ,testimony
60,written words; book prepared for use in schools or colleges,n. ,text
61,cloth; fabric,n. Syn. cloth; fabric,textile
62,"of or pertaining to theater, or to scenic representations; resembling manner of dramatic performers; histrionic; artificial",a. ,theatrical
63,act of taking something from someone unlawfully; stealing,n. Syn. burglary; stealing,theft
64,subject of conversation or discussion; topic; essay,n. Syn. subject; motif; topic,theme
65,not practical or applied; hypothetical; of or based on theory,a. Syn. hypothetical; speculative,theoretical
66,doctrine or scheme of things; general or abstract principles of any science,n. ,theory
67,thus; accordingly; by that means; because of that,ad. Syn. thus; accordingly; consequently,thereby
68,consequently; hence,ad. Syn. consequently; hence,therefore
69,instrument for measuring temperature,n. ,thermometer
70,paper; dissertation; an unproved statement put forward as a premise in an argument,n. Syn. paper; dissertation,thesis
71,part of the leg between the hip and the knee,n. ,thigh
72,sensation of dryness in the throat,n. ,thirst
73,something that causes irritation; a sharp-pointed tip on a stem or leaf,n. ,thorn
74,accurate or careful; complete,a. Syn. profound; complete,thorough
75,considerate; having intellectual depth; giving close attention,a. Syn. considerate,thoughtful
76,beat severely; discuss or examine repeatedly; use a machine or flail to separate grain or seeds from straw,v. ,thrash
77,"a very small twist of flax, wool, cotton, silk, or other fibrous substance;  filament, as of a flower, or of any fibrous substance",n. ,thread
78,pose a threat to; present a danger to,v. Syn. menace; endanger,threaten
79,entrance; starting point for a new state or experience,n. Syn. entrance; beginning,threshold
80,careful about money; economical,a. Syn. economical,thrifty
81,feel sudden intense sensation or emotion; tremble as from fear or excitement,v. ,thrill
82,make steady progress; prosper; flourish,v. Syn. prosper; flourish,thrive
83,part of neck in front of; passage to stomach and lung,n. ,throat
84,large group of people gathered or crowded closely together,n. Syn. crowd,throng
85,in every part; in or through all parts; everywhere; during the entire time or extent,ad. ,throughout
86,push; force used in pushing ; activity or idea is the main or essential thing it expresses,n. Syn. push; drive,thrust
87,"short, thick first digit of human hand",n. ,thumb
88,sound which follows flash of lightning; discharge of electricity; loud noise,n. ,thunder
89,storm resulting from strong rising air currents; heavy rain or hail along with thunder and lightning,n. ,thunderstorm
90,emit recurring clicking sounds; do well or as designed,v. ,tick
91,periodic rise and fall of the sea level,n. Syn. current,tide
92,being in proper time; timely; arranged in good order; orderly; appropriate; neat; kept in proper,a. ,tidy
93,draw tighter; straiten; make closer in any manner.,v. ,tighten
94,"flat thin rectangular slab used to cover surfaces; short length of pipe made of clay or concrete, used in sewers and drains",n. ,tile
95,slight but noticeable partiality; line or surface that departs from the vertical,n. Syn. slant; lean,tilt
96,wood; lumber; trees or wooded land considered as a source of wood,n. Syn. wood; lumber,timber
97,being or occurring in good time; sufficiently early; seasonable,a. ,timely
98,shy; craven; lacking self-confidence; shy,a. Syn. shy; craven,timid
99,piece or attachment; end of a pointed or projecting object; a V shape ; indication of potential opportunity,n. ,tip
100,groups of cells that make particular parts of the body; soft thin paper,n. Syn. fabric,tissue
101,right or claim to possession; mark of rank; name of a book or film,n. ,title
102,dry and brown by heat of fire; warm thoroughly; drink to the health or in honor,v. ,toast
103,one of digits of the foot; forepart of a foot or hoof,n. ,toe
104,"exhausting labor or effort; any thread, web, or string spread for taking prey",n. ,toil
105,something intended or supposed to represent another thing; sign or symbol; memorial of friendship,n. ,token
106,"capable of being borne or endured; supportable, either physically or mentally.",a. ,tolerable
107,capacity for or the practice of recognizing and respecting the beliefs or practices of others; capacity to endure hardship or pain,n. ,tolerance
108,showing respect for the rights of others; open-minded; showing capacity for endurance,a. Syn. permissive; open-minded; easy-going,tolerant
109,endure; withstand; allow without prohibiting or opposing; permit,v. Syn. endure; withstand; stand,tolerate
110,charge a fee for using;  sound in slowly repeated single tones; announce or summon by ringing a bell,v. ,toll
111,organ situated in floor of mouth; speech; language; clapper of bell,n. ,tongue
112,"subject of a speech, essay, thesis, discussion, or conversation",n. ,topic
113,large candle or lamp giving flaring flame; flashlight,n. ,torch
114,rushing stream; flood;  heavy downpour,n. Syn. flood,torrent
115,extreme pain; anguish of body or mind,n. ,torture
116,throw carelessly; throw to see which side comes up; move or stir about violently,v. ,toss
117,hard; difficult; feeling physical discomfort or pain; hard to bear,a. Syn. hard; strong,tough
118,practice of traveling for pleasure; business of providing tours and services for tourists,n. ,tourism
119,draw or pull behind by a chain or line,v. Syn. pull; drag,tow
120,rectangular cloth or paper for drying or wiping,n. ,towel
121,"building or part of a building that is exceptionally high in proportion to its width and length; tall, slender structure used for observation, signaling, or pumping",n. ,tower
122,"follow, discover; make a mark or lines on a surface",v. Syn. imprint; residues,trace
123,road or path affording passage; line or route along which something moves,n. ,track
124,a truck that has a cab but no body,n. ,tractor
125,thought or behavior followed from generation to generation;  heritage,n. Syn. heritage,tradition
126,disaster; event resulting in great loss and misfortune,n. Syn. disaster; calamity,tragedy
127,path or track roughly through wild or hilly country; overland route,n. Syn. track,trail
128,one who violates his allegiance and betrays his country,n. ,traitor
129,travel or wander through; cleanse clothes in water,v. ,tramp
130,destroy; step on,v. Syn. destroy,trample
131,free from disturbance; pacific,a. Syn. serene; pacific,tranquil
132,deal; communication involving two or more people that affects all those involved,n. Syn. deal,transaction
133,"shifting; conveyance or removal of something from one place, person, or thing to another",n. Syn. shift; distract; divert,transfer
134,change in outward structure or looks; convert,v. Syn. change; convert,transform
135,"change in form , appearance, nature, disposition, condition, or the like",n. ,transformation
136,small electronic device containing a semiconductor and having at least three electrical contacts,n. ,transistor
137,act of passing; passage through or over; line or route of passage,n. ,transit
138,going from one state of action to another,n. Syn. passage; change,transition
139,act of transmitting; automotive assembly of gears; sending of a signal,n. ,transmission
140,forward; send from one person or place to another,v. Syn. forward; convey,transmit
141,easily detected; permitting light to pass through freely,a. Syn. airy; obvious,transparent
142,act of uprooting and moving a plant to a new location,n. Syn. transfer; graft,transplant
143,carry from one place to another; carry away; deport,v. Syn. convey,transport
144,catch; hold or catch as if in a hole,v. Syn. catch,trap
145,"go through or across, often under difficult conditions",v. ,traverse
146,an open receptacle for holding or displaying or serving articles or food,n. ,tray
